"Qual","R1","R2","R3","B1","B2","B3"
"1","6867","3739","5885","1374","6110","4946"
"2","610","4907","3161","7721","6141","7800"
"3","6987","2994","2200","7480","8072","907"
"4","8081","2609","188","6140","8089","5036"
"5","4976","7564","7603","6135","4476","7614"
"6","4039","6875","6323","7902","6514","7735"
"7","6987","7721","3161","8072","5036","5885"
"8","7800","7564","3739","7614","2200","6141"
"9","4976","1374","4907","2609","7902","8089"
"10","6110","7735","7603","4946","8081","907"
"11","610","6323","7480","4476","6514","4039"
"12","188","2994","6875","6140","6135","6867"
"13","7564","5885","8081","6987","8072","6141"
"14","4039","2609","4976","7800","4907","6110"
"15","6867","8089","3161","7480","4476","7603"
"16","907","6514","5036","4946","3739","6323"
"17","2994","6135","1374","610","2200","7735"
"18","7614","7902","6875","188","7721","6140"
"19","6867","8072","4039","2609","7603","907"
"20","7564","7735","4907","3161","5885","6323"
"21","4476","6140","6141","7721","8081","6110"
"22","2994","4946","610","1374","6987","7614"
"23","7480","6514","3739","7902","188","4976"
"24","2200","7800","8089","6135","5036","6875"
"25","8072","7564","4946","6323","4907","6140"
"26","3161","7735","2609","3739","7614","8081"
"27","907","6987","7800","7902","7480","6867"
"28","4976","6141","6875","5036","4039","7603"
"29","6110","2200","188","5885","4476","2994"
"30","8089","6135","6514","1374","610","7721"
"31","6141","2609","7564","6875","4946","7480"
"32","3739","188","6987","6323","7603","2200"
"33","7614","6110","5885","4907","7902","6135"
"34","4476","5036","6867","6514","1374","8072"
"35","907","4039","610","3161","6140","8081"
"36","7735","7800","2994","4976","8089","7721"
"37","7603","7614","188","2609","1374","5036"
"38","8081","6323","7902","4946","3161","2200"
"39","6140","6110","8072","7735","4976","4476"
"40","6135","907","3739","8089","6875","6987"
"41","4907","6141","7480","7721","2994","6867"
"42","5885","7800","4039","6514","7564","610"
"43","6110","6875","4476","4946","4976","6987"
"44","6141","6867","6323","5036","3161","7614"
"45","7603","6140","6514","2200","5885","4907"
"46","1374","7902","4039","7564","2994","8089"
"47","7480","6135","188","7800","8081","8072"
"48","7735","907","7721","3739","2609","610"
"49","7603","3161","7902","6514","4907","2994"
"50","8072","7614","8089","4039","2200","7564"
"51","5036","610","6141","907","4976","6110"
"52","8081","7480","1374","6875","3739","6140"
"53","5885","7721","6135","2609","4946","4476"
"54","6323","6987","7735","188","6867","7800"
"55","8081","6875","6514","2994","7614","4976"
"56","2200","8072","6135","7902","6141","907"
"57","610","188","4476","4039","3161","7480"
"58","4907","5036","6987","7735","1374","3739"
"59","7800","6140","4946","7603","8089","5885"
"60","6323","7721","2609","6110","6867","7564"
"61","3739","4976","3161","6987","4039","6135"
"62","6141","5885","6514","8089","7735","8081"
"63","2994","6110","5036","7564","7480","7614"
"64","7721","7603","4946","188","6323","8072"
"65","4476","7800","1374","6875","907","4907"
"66","6140","610","7902","2200","6867","2609"
"67","6135","6323","4976","5885","7480","7735"
"68","8089","3739","6110","6141","7603","2994"
"69","6867","907","1374","3161","188","7564"
"70","5036","8081","2200","4907","4039","7721"
"71","7614","4946","6514","6140","6987","2609"
"72","8072","4476","7902","6875","610","7800"
